hotel_name,url,locality,timestamp,reviews,tripadvisor_rating,checkIn,checkOut,price_per_night,booking_provider,no_of_deals,hotel_features
The Lucerne Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d99281-Reviews-The_Lucerne_Hotel-New_York_City_New_York.html,New York,,2649 ,4.5,2019/05/18,2019/05/19, 336,AMOMA,12,"Free Wifi,Restaurant"
Hostelling International - New York,http://www.tripadvisor.com/Hotel_Review-g60763-d121994-Reviews-Hostelling_International_New_York-New_York_City_New_York.html,New York,,1944 ,4.5,2019/05/18,2019/05/19, 125,Hostelworld.com,11,"Free Wifi,Restaurant"
Pod 39 Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d3235844-Reviews-Pod_39_Hotel-New_York_City_New_York.html,New York,,3972 ,4,2019/05/18,2019/05/19, 237,Booking.com,12,"Free Wifi,Restaurant"
Hotel 50 Bowery NYC,http://www.tripadvisor.com/Hotel_Review-g60763-d10066892-Reviews-Hotel_50_Bowery_NYC-New_York_City_New_York.html,New York,,1380 ,4.5,2019/05/18,2019/05/19, 416,Agoda.com,15,"Free Wifi,Restaurant,Visit hotel website"
Arthouse Hotel New York City,http://www.tripadvisor.com/Hotel_Review-g60763-d99288-Reviews-Arthouse_Hotel_New_York_City-New_York_City_New_York.html,New York,,6731 ,4,2019/05/18,2019/05/19, 372,Expedia.ch,7,"Restaurant,Bar/Lounge,Visit hotel website"
Warwick New York,http://www.tripadvisor.com/Hotel_Review-g60763-d112064-Reviews-Warwick_New_York-New_York_City_New_York.html,New York,,4926 ,4.5,2019/05/18,2019/05/19, 295,Expedia.ch,14,"Restaurant,Room service,Visit hotel website"
The Roxy Hotel Tribeca,http://www.tripadvisor.com/Hotel_Review-g60763-d208455-Reviews-The_Roxy_Hotel_Tribeca-New_York_City_New_York.html,New York,,1290 ,5,2019/05/18,2019/05/19, 450,Booking.com,13,"Free Wifi,Restaurant"
Washington Square Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d93382-Reviews-Washington_Square_Hotel-New_York_City_New_York.html,New York,,1720 ,4,2019/05/18,2019/05/19, 430,Trip.com,14,"Free Wifi,Breakfast included,Visit hotel website"
Hilton Garden Inn New York/West 35th Street,http://www.tripadvisor.com/Hotel_Review-g60763-d1218792-Reviews-Hilton_Garden_Inn_New_York_West_35th_Street-New_York_City_New_York.html,New York,,5825 ,4.5,2019/05/18,2019/05/19, 287,Booking.com,14,"Free Wifi,Restaurant,Visit hotel website"
EVEN Hotel Times Square South,http://www.tripadvisor.com/Hotel_Review-g60763-d7778097-Reviews-EVEN_Hotel_Times_Square_South-New_York_City_New_York.html,New York,,1385 ,4.5,2019/05/18,2019/05/19, 340,Booking.com,13,"Free Wifi,Restaurant,Visit hotel website"
New York Marriott Marquis,http://www.tripadvisor.com/Hotel_Review-g60763-d93507-Reviews-New_York_Marriott_Marquis-New_York_City_New_York.html,New York,,12555 ,4,2019/05/18,2019/05/19, 451,Agoda.com,15,"Restaurant,Bar/Lounge,Visit hotel website"
The Westin New York Grand Central,http://www.tripadvisor.com/Hotel_Review-g60763-d93593-Reviews-The_Westin_New_York_Grand_Central-New_York_City_New_York.html,New York,,4742 ,4,2019/05/18,2019/05/19, 324,Trip.com,15,"Restaurant,Room service,Visit hotel website"
Pod Times Square,http://www.tripadvisor.com/Hotel_Review-g60763-d12551350-Reviews-Pod_Times_Square-New_York_City_New_York.html,New York,,748 ,4,2019/05/18,2019/05/19, 225,Booking.com,8,"Free Wifi,Bar/Lounge"
Novotel New York Times Square,http://www.tripadvisor.com/Hotel_Review-g60763-d93516-Reviews-Novotel_New_York_Times_Square-New_York_City_New_York.html,New York,,7132 ,4.5,2019/05/18,2019/05/19, 420,Novotel,13,"Restaurant,Room service,Visit hotel website"
Hilton Garden Inn New York/Central Park South-Midtown West,http://www.tripadvisor.com/Hotel_Review-g60763-d5786212-Reviews-Hilton_Garden_Inn_New_York_Central_Park_South_Midtown_West-New_York_City_New_York.html,New York,,3187 ,4,2019/05/18,2019/05/19, 367,Agoda.com,13,"Free Wifi,Restaurant,Visit hotel website"
Courtyard by Marriott New York Manhattan/Central Park,http://www.tripadvisor.com/Hotel_Review-g60763-d5039852-Reviews-Courtyard_by_Marriott_New_York_Manhattan_Central_Park-New_York_City_New_York.html,New York,,1534 ,4,2019/05/18,2019/05/19, 342,Booking.com,14,"Free Wifi,Restaurant,Visit hotel website"
Hotel Belleclaire,http://www.tripadvisor.com/Hotel_Review-g60763-d93390-Reviews-Hotel_Belleclaire-New_York_City_New_York.html,New York,,4157 ,4,2019/05/18,2019/05/19, 318,Agoda.com,11,"Free Wifi,Fitness center"
The Westin New York at Times Square,http://www.tripadvisor.com/Hotel_Review-g60763-d249712-Reviews-The_Westin_New_York_at_Times_Square-New_York_City_New_York.html,New York,,3508 ,4,2019/05/18,2019/05/19, 450,Booking.com,14,"Restaurant,Bar/Lounge,Visit hotel website"
InterContinental New York Times Square,http://www.tripadvisor.com/Hotel_Review-g60763-d1646128-Reviews-InterContinental_New_York_Times_Square-New_York_City_New_York.html,New York,,6723 ,4,2019/05/18,2019/05/19,0,Trip.com,12,"Restaurant,Room service,Visit hotel website"
Avalon Hotel,http://www.tripadvisor.com/Hotel_Review-g60763-d99387-Reviews-Avalon_Hotel-New_York_City_New_York.html,New York,,2118 ,4.5,2019/05/18,2019/05/19, 266,Booking.com,13,"Free Wifi,Fitness center,Visit hotel website"
Distrikt Hotel New York City,http://www.tripadvisor.com/Hotel_Review-g60763-d1503474-Reviews-Distrikt_Hotel_New_York_City-New_York_City_New_York.html,New York,,6205 ,4.5,2019/05/18,2019/05/19, 331,Booking.com,14,"Free Wifi,Bar/Lounge,Visit hotel website"
