platform_name,price_per_night
Expedia.ch, 60
Expedia.ch, 60
, 60
, 60
, 60
, 60
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
, 60
, 60
, 60
, 60
, 60
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
, 60
, 60
,0
,0
,0
, 60
, 60
, 60
,0
, 60
, 60
, 60
,0
,0
,0
, 80
,0
,0
,0
, 60
,0
,0
,0
, 60
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
, 60
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Expedia.ch,0
Expedia.ch,0
Expedia.ch,0
Expedia.ch,0
,0
,0
,0
,0
,0
,0
