hotel_name,price_per_night,timestamp
Premier Inn Abu Dhabi International Airport Hotel, 47,2019-04-25 20:20:01.599376
Yas Hotel Abu Dhabi, 109,2019-04-25 20:20:01.599376
Khalidiya Palace Rayhaan by Rotana, 69,2019-04-25 20:20:01.599376
Southern Sun Abu Dhabi, 62,2019-04-25 20:20:01.599376
"Shangri-La Hotel, Qaryat Al Beri, Abu Dhabi", 110,2019-04-25 20:20:01.599376
"Radisson Blu Hotel & Resort, Abu Dhabi Corniche", 60,2019-04-25 20:20:01.599376
Yas Island Rotana, 69,2019-04-25 20:20:01.599376
"Radisson Blu Hotel, Abu Dhabi Yas Island", 62,2019-04-25 20:20:01.599376
City Seasons Al Hamra Hotel, 46,2019-04-25 20:20:01.599376
Bab Al Qasr Hotel, 81,2019-04-25 20:20:01.599376
Jumeirah at Etihad Towers, 162,2019-04-25 20:20:01.599376
Emirates Palace, 292,2019-04-25 20:20:01.599376
Fairmont Bab Al Bahr, 88,2019-04-25 20:20:01.599376
"The Ritz-Carlton Abu Dhabi, Grand Canal", 152,2019-04-25 20:20:01.599376
"The St. Regis Saadiyat Island Resort, Abu Dhabi", 203,2019-04-25 20:20:01.599376
Tryp by Wyndham Abu Dhabi City Centre, 43,2019-04-25 20:20:01.599376
Royal Rose Hotel, 67,2019-04-25 20:20:01.599376
Saadiyat Rotana Resort & Villas, 185,2019-04-25 20:20:01.599376
"Traders Hotel, Qaryat Al Beri, Abu Dhabi", 50,2019-04-25 20:20:01.599376
Al Seef Resort & Spa By Andalus, 74,2019-04-25 20:20:01.599376
Beach Rotana Abu Dhabi, 72,2019-04-25 20:20:01.599376
Sofitel Abu Dhabi Corniche, 60,2019-04-25 20:20:01.599376
Novotel Abu Dhabi Al Bustan, 40,2019-04-25 20:20:01.599376
Ibis Abu Dhabi Gate, 43,2019-04-25 20:20:01.599376
Eastern Mangroves Hotel & Spa By Anantara, 100,2019-04-25 20:20:01.599376
The St. Regis Abu Dhabi, 148,2019-04-25 20:20:01.599376
Ramada by Wyndham Abu Dhabi Corniche, 41,2019-04-25 20:20:01.599376
Rosewood Abu Dhabi, 123,2019-04-25 20:20:01.599376
Al Raha Beach Hotel," 1,630",2019-04-25 20:20:01.599376
Zaya Nurai Island, 697,2019-04-25 20:20:01.599376
