platform_name,price_per_night
Expedia.ch, 68
Expedia.ch, 68
, 68
, 68
, 68
, 68
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
, 68
, 68
, 68
, 60
, 60
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
, 60
, 60
,0
,0
,0
, 68
, 68
, 68
,0
, 68
, 68
, 60
,0
,0
,0
, 80
,0
,0
,0
, 60
,0
,0
,0
, 60
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
, 60
,0
,0
,0
, 68
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
,0
Expedia.ch,0
Expedia.ch,0
Expedia.ch,0
Expedia.ch,0
,0
,0
,0
,0
,0
,0
