hotel_name,price_per_night,timestamp
Novotel Abu Dhabi Al Bustan, 40,2019-04-27 15:20:01.826216
Premier Inn Abu Dhabi International Airport Hotel, 47,2019-04-27 15:20:01.826216
Khalidiya Palace Rayhaan by Rotana, 78,2019-04-27 15:20:01.826216
Southern Sun Abu Dhabi, 62,2019-04-27 15:20:01.826216
"Radisson Blu Hotel, Abu Dhabi Yas Island", 69,2019-04-27 15:20:01.826216
Yas Island Rotana, 69,2019-04-27 15:20:01.826216
Aparthotel Adagio Abu Dhabi Al Bustan, 61,2019-04-27 15:20:01.826216
Bab Al Qasr Hotel, 81,2019-04-27 15:20:01.826216
Jumeirah at Etihad Towers, 162,2019-04-27 15:20:01.826216
Emirates Palace, 292,2019-04-27 15:20:01.826216
"The Ritz-Carlton Abu Dhabi, Grand Canal", 153,2019-04-27 15:20:01.826216
Beach Rotana Abu Dhabi, 73,2019-04-27 15:20:01.826216
Sofitel Abu Dhabi Corniche, 80,2019-04-27 15:20:01.826216
"Traders Hotel, Qaryat Al Beri, Abu Dhabi", 50,2019-04-27 15:20:01.826216
Novotel Abu Dhabi Al Bustan, 40,2019-04-27 15:20:01.826216
The St. Regis Abu Dhabi, 149,2019-04-27 15:20:01.826216
Rosewood Abu Dhabi, 124,2019-04-27 15:20:01.826216
Ramada by Wyndham Abu Dhabi Corniche, 41,2019-04-27 15:20:01.826216
Al Raha Beach Hotel," 1,629",2019-04-27 15:20:01.826216
Zaya Nurai Island, 697,2019-04-27 15:20:01.826216
Yas Hotel Abu Dhabi,0,2019-04-27 15:20:01.826216
"Shangri-La Hotel, Qaryat Al Beri, Abu Dhabi", 110,2019-04-27 15:20:01.826216
"Radisson Blu Hotel & Resort, Abu Dhabi Corniche", 60,2019-04-27 15:20:01.826216
City Seasons Al Hamra Hotel, 46,2019-04-27 15:20:01.826216
Fairmont Bab Al Bahr, 112,2019-04-27 15:20:01.826216
Tryp by Wyndham Abu Dhabi City Centre, 43,2019-04-27 15:20:01.826216
"The St. Regis Saadiyat Island Resort, Abu Dhabi", 203,2019-04-27 15:20:01.826216
Royal Rose Hotel, 63,2019-04-27 15:20:01.826216
Al Seef Resort & Spa By Andalus, 74,2019-04-27 15:20:01.826216
Eastern Mangroves Hotel & Spa By Anantara, 100,2019-04-27 15:20:01.826216
Saadiyat Rotana Resort & Villas,0,2019-04-27 15:20:01.826216
Ibis Abu Dhabi Gate, 43,2019-04-27 15:20:01.826216
