hotel_name,price_per_night,timestamp
Premier Inn Abu Dhabi International Airport Hotel, 50,2019-04-26 20:20:01.443128
Yas Hotel Abu Dhabi, 110,2019-04-26 20:20:01.443128
Khalidiya Palace Rayhaan by Rotana, 70,2019-04-26 20:20:01.443128
Southern Sun Abu Dhabi, 63,2019-04-26 20:20:01.443128
"Shangri-La Hotel, Qaryat Al Beri, Abu Dhabi", 110,2019-04-26 20:20:01.443128
"Radisson Blu Hotel & Resort, Abu Dhabi Corniche", 60,2019-04-26 20:20:01.443128
Yas Island Rotana, 69,2019-04-26 20:20:01.443128
"Radisson Blu Hotel, Abu Dhabi Yas Island", 57,2019-04-26 20:20:01.443128
City Seasons Al Hamra Hotel, 46,2019-04-26 20:20:01.443128
Bab Al Qasr Hotel, 81,2019-04-26 20:20:01.443128
Jumeirah at Etihad Towers, 163,2019-04-26 20:20:01.443128
Emirates Palace, 292,2019-04-26 20:20:01.443128
Fairmont Bab Al Bahr, 112,2019-04-26 20:20:01.443128
"The Ritz-Carlton Abu Dhabi, Grand Canal", 153,2019-04-26 20:20:01.443128
Tryp by Wyndham Abu Dhabi City Centre, 43,2019-04-26 20:20:01.443128
"Traders Hotel, Qaryat Al Beri, Abu Dhabi", 50,2019-04-26 20:20:01.443128
Royal Rose Hotel, 67,2019-04-26 20:20:01.443128
Saadiyat Rotana Resort & Villas, 185,2019-04-26 20:20:01.443128
"The St. Regis Saadiyat Island Resort, Abu Dhabi", 203,2019-04-26 20:20:01.443128
Al Seef Resort & Spa By Andalus, 74,2019-04-26 20:20:01.443128
Sofitel Abu Dhabi Corniche, 59,2019-04-26 20:20:01.443128
Beach Rotana Abu Dhabi, 73,2019-04-26 20:20:01.443128
Novotel Abu Dhabi Al Bustan, 40,2019-04-26 20:20:01.443128
Ibis Abu Dhabi Gate, 43,2019-04-26 20:20:01.443128
Eastern Mangroves Hotel & Spa By Anantara, 100,2019-04-26 20:20:01.443128
The St. Regis Abu Dhabi, 149,2019-04-26 20:20:01.443128
Rosewood Abu Dhabi, 123,2019-04-26 20:20:01.443128
Ramada by Wyndham Abu Dhabi Corniche, 41,2019-04-26 20:20:01.443128
Al Raha Beach Hotel," 1,630",2019-04-26 20:20:01.443128
Zaya Nurai Island, 697,2019-04-26 20:20:01.443128
