hotel_name,price_per_night,timestamp
Bay Gardens Hotel, 113,2019-04-30 00:20:01.265756
La Haut Resort, 106,2019-04-30 00:20:01.265756
Windjammer Landing Villa Beach Resort, 161,2019-04-30 00:20:01.265756
Coco Palm Resort, 105,2019-04-30 00:20:01.265756
"The Harbor Club St. Lucia, Curio Collection by Hilton", 141,2019-04-30 00:20:01.265756
Villa Beach Cottages, 220,2019-04-30 00:20:01.265756
Mystique Royal St Lucia, 258,2019-04-30 00:20:01.265756
Bay Gardens Beach Resort, 155,2019-04-30 00:20:01.265756
Anse Chastanet, 484,2019-04-30 00:20:01.265756
Hummingbird Beach Resort, 217,2019-04-30 00:20:01.265756
Bay Gardens Hotel, 113,2019-04-30 00:20:01.265756
The Ginger Lily Hotel, 107,2019-04-30 00:20:01.265756
St. James's Club Morgan Bay, 416,2019-04-30 00:20:01.265756
Bay Gardens Inn, 107,2019-04-30 00:20:01.265756
Cap Maison, 431,2019-04-30 00:20:01.265756
Stonefield Villa Resort, 436,2019-04-30 00:20:01.265756
Boucan by Hotel Chocolat, 250,2019-04-30 00:20:01.265756
Marigot Palms Luxury Caribbean Guesthouse and Apartments, 168,2019-04-30 00:20:01.265756
Ti Kaye Resort & Spa, 224,2019-04-30 00:20:01.265756
Hideaway at Royalton Saint Lucia, 405,2019-04-30 00:20:01.265756
Marigot Bay Resort and Marina, 374,2019-04-30 00:20:01.265756
Fond Doux Plantation & Resort, 202,2019-04-30 00:20:01.265756
Bel Jou Hotel, 226,2019-04-30 00:20:01.265756
Tet Rouge Resort, 284,2019-04-30 00:20:01.265756
Calabash Cove Resort and Spa, 355,2019-04-30 00:20:01.265756
Jade Mountain Resort," 1,305",2019-04-30 00:20:01.265756
"Sugar Beach, A Viceroy Resort", 786,2019-04-30 00:20:01.265756
Ladera Resort, 624,2019-04-30 00:20:01.265756
Royalton Saint Lucia, 514,2019-04-30 00:20:01.265756
East Winds, 709,2019-04-30 00:20:01.265756
The Landings Resort & Spa, 569,2019-04-30 00:20:01.265756
