locality,price_per_night,Datum
Teplice, 63,2019-04-11 15-01
Teplice, 162,2019-04-11 15-01
Teplice, 69,2019-04-11 15-01
Teplice, 44,2019-04-11 15-01
Teplice, 33,2019-04-11 15-01
Teplice, 64,2019-04-11 15-01
Teplice, 51,2019-04-11 15-01
Teplice, 34,2019-04-11 15-01
Teplice, 39,2019-04-11 15-01
Teplice, 59,2019-04-11 15-01
Teplice, 85,2019-04-11 15-01
Teplice, 92,2019-04-11 15-01
Teplice,0,2019-04-11 15-01
Teplice,0,2019-04-11 15-01
Teplice,0,2019-04-11 15-01
Teplice,0,2019-04-11 15-01
Teplice,0,2019-04-11 15-01
Teplice, 83,2019-04-11 15-01
Teplice, 78,2019-04-11 15-01
Teplice, 89,2019-04-11 15-01
Teplice, 79,2019-04-11 15-01
Teplice, 90,2019-04-11 15-01
Teplice, 79,2019-04-11 15-01
Teplice, 113,2019-04-11 15-01
Teplice, 103,2019-04-11 15-01
Teplice, 79,2019-04-11 15-01
Teplice, 58,2019-04-11 15-01
Teplice, 37,2019-04-11 15-01
Teplice,0,2019-04-11 15-01
Teplice,0,2019-04-11 15-01
,,2019-04-11 15-01
