locality,price_per_night,Datum
Teplice, 73,2019-04-13 15-01
Teplice, 69,2019-04-13 15-01
Teplice, 163,2019-04-13 15-01
Teplice, 52,2019-04-13 15-01
Teplice, 33,2019-04-13 15-01
Teplice, 64,2019-04-13 15-01
Teplice, 51,2019-04-13 15-01
Teplice, 34,2019-04-13 15-01
Teplice, 59,2019-04-13 15-01
Teplice, 75,2019-04-13 15-01
Teplice, 61,2019-04-13 15-01
Teplice, 35,2019-04-13 15-01
Teplice, 38,2019-04-13 15-01
Teplice, 37,2019-04-13 15-01
Teplice, 93,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
Teplice,0,2019-04-13 15-01
,,2019-04-13 15-01
